         564678 function calls (551003 primitive calls) in 1.105 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  189/151    0.002    0.000    0.015    0.000 inspect.py:2501(_signature_from_callable)
        5    0.000    0.000    0.014    0.003 base.py:1(<module>)
        1    0.000    0.000    0.014    0.014 nodes.py:1(<module>)
        1    0.000    0.000    0.013    0.013 run.py:1(<module>)
      264    0.001    0.000    0.013    0.000 overrides.py:145(decorator)
       61    0.002    0.000    0.013    0.000 enum.py:528(__new__)
        1    0.000    0.000    0.013    0.013 cookiejar.py:1(<module>)
        3    0.000    0.000    0.013    0.004 __init__.py:882(version)
        2    0.000    0.000    0.013    0.007 pathlib.py:1(<module>)
        1    0.000    0.000    0.013    0.013 debugging.py:1(<module>)
       46    0.001    0.000    0.013    0.000 dataclasses.py:568(_init_fn)
        1    0.000    0.000    0.013    0.013 legacypath.py:1(<module>)
        1    0.000    0.000    0.012    0.012 actor_job_base_client.py:1(<module>)
       43    0.006    0.000    0.012    0.000 __init__.py:355(namedtuple)
      808    0.004    0.000    0.012    0.000 typing.py:175(_type_check)
     1223    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       25    0.002    0.000    0.012    0.000 typing.py:2814(__new__)
        3    0.000    0.000    0.012    0.004 datetimes.py:1(<module>)
        1    0.000    0.000    0.012    0.012 ssl.py:1(<module>)
    45399    0.012    0.000    0.012    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.012    0.012 _logging.py:1(<module>)
     1319    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      105    0.000    0.000    0.011    0.000 typing.py:521(__getitem__)
     1829    0.008    0.000    0.011    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.011    0.011 _json.py:1(<module>)
        1    0.000    0.000    0.011    0.011 describe.py:1(<module>)
      554    0.006    0.000    0.011    0.000 _compiler.py:243(_optimize_charset)
       26    0.000    0.000    0.011    0.000 typing.py:2795(_make_nmtuple)
        1    0.000    0.000    0.011    0.011 connectionpool.py:1(<module>)
   101/31    0.001    0.000    0.011    0.000 typing.py:1294(__getitem__)
      902    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1592(_get_spec)
        1    0.000    0.000    0.010    0.010 einsumfunc.py:1(<module>)
      104    0.010    0.000    0.010    0.000 {built-in method posix.listdir}
      103    0.001    0.000    0.010    0.000 typing.py:753(Literal)
     1610    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      990    0.005    0.000    0.010    0.000 functools.py:35(update_wrapper)
     1829    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap>:372(release)
        2    0.000    0.000    0.010    0.005 format.py:1(<module>)
        1    0.000    0.000    0.010    0.010 doctest.py:1(<module>)
      172    0.001    0.000    0.009    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.009    0.009 _array_like.py:1(<module>)
       96    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1648(_fill_cache)
        1    0.000    0.000    0.009    0.009 _dtype_like.py:1(<module>)
46518/45120    0.009    0.000    0.009    0.000 {built-in method builtins.len}
    21889    0.008    0.000    0.009    0.000 {built-in method builtins.getattr}
     3091    0.004    0.000    0.009    0.000 typing.py:1215(__setattr__)
       13    0.001    0.000    0.009    0.001 enum.py:918(_convert_)
       63    0.001    0.000    0.009    0.000 _logging.py:46(__new__)
        1    0.000    0.000    0.009    0.009 initialise.py:1(<module>)
        2    0.000    0.000    0.009    0.004 runner.py:1(<module>)
        1    0.000    0.000    0.009    0.009 request_queue.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _request_methods.py:1(<module>)
        1    0.001    0.001    0.008    0.008 frame.py:515(DataFrame)
      146    0.003    0.000    0.008    0.000 inspect.py:2397(_signature_from_function)
        1    0.000    0.000    0.008    0.008 string_.py:1(<module>)
        1    0.000    0.000    0.008    0.008 socket.py:1(<module>)
       20    0.003    0.000    0.008    0.000 enum.py:1707(convert_class)
11354/11286    0.007    0.000    0.008    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.008    0.008 ansitowin32.py:1(<module>)
        3    0.000    0.000    0.008    0.003 numeric.py:1(<module>)
        6    0.000    0.000    0.008    0.001 common.py:1(<module>)
       53    0.000    0.000    0.008    0.000 _add_newdocs.py:3381(_array_method_doc)
        1    0.000    0.000    0.008    0.008 _char_codes.py:1(<module>)
      902    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
        2    0.000    0.000    0.008    0.004 abc.py:1(<module>)
    26640    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.008    0.004 interval.py:1(<module>)
        3    0.000    0.000    0.008    0.003 readers.py:1(<module>)
    17802    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
       47    0.000    0.000    0.007    0.000 dataclasses.py:627(_repr_fn)
        2    0.000    0.000    0.007    0.004 dtypes.py:1(<module>)
      945    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:420(__exit__)
        3    0.000    0.000    0.007    0.002 __init__.py:464(version)
       39    0.000    0.000    0.007    0.000 _decorators.py:487(__call__)
        3    0.000    0.000    0.007    0.002 __init__.py:436(metadata)
      507    0.003    0.000    0.007    0.000 typing.py:262(_collect_parameters)
   101/31    0.000    0.000    0.007    0.000 typing.py:1326(_determine_new_args)
     1002    0.001    0.000    0.007    0.000 typing.py:166(_type_convert)
      247    0.003    0.000    0.007    0.000 enum.py:254(__set_name__)
        3    0.000    0.000    0.007    0.002 cookies.py:1(<module>)
        1    0.000    0.000    0.007    0.007 groupby.py:1(<module>)
        1    0.000    0.000    0.007    0.007 eval.py:1(<module>)
   101/31    0.001    0.000    0.007    0.000 typing.py:1355(_make_substitution)
        1    0.000    0.000    0.007    0.007 logging.py:1(<module>)
      346    0.007    0.000    0.007    0.000 {method 'sub' of 're.Pattern' objects}
       41    0.000    0.000    0.007    0.000 dataclasses.py:661(_cmp_fn)
        2    0.000    0.000    0.007    0.003 structures.py:1(<module>)
       15    0.000    0.000    0.007    0.000 dataclasses.py:638(_frozen_get_del_attr)
        1    0.000    0.000    0.006    0.006 consts.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _pickle.py:1(<module>)
        1    0.000    0.000    0.006    0.006 ewm.py:1(<module>)
        1    0.000    0.000    0.006    0.006 sessions.py:1(<module>)
        1    0.000    0.000    0.006    0.006 findpaths.py:1(<module>)
       13    0.000    0.000    0.006    0.000 core.py:8743(_convert2ma)
        2    0.000    0.000    0.006    0.003 parser.py:1(<module>)
     8692    0.005    0.000    0.006    0.000 {built-in method builtins.setattr}
      451    0.001    0.000    0.006    0.000 typing.py:1174(__init__)
        2    0.000    0.000    0.006    0.003 python.py:1(<module>)
       65    0.000    0.000    0.006    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.006    0.006 testing.py:1(<module>)
        1    0.000    0.000    0.006    0.006 cacheprovider.py:1(<module>)
      805    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1206(path_stats)
     8594    0.004    0.000    0.006    0.000 _parser.py:261(get)
        1    0.001    0.001    0.006    0.006 packages.py:1(<module>)
        1    0.000    0.000    0.006    0.006 winterm.py:1(<module>)
        1    0.000    0.000    0.006    0.006 parse.py:1(<module>)
     8123    0.004    0.000    0.006    0.000 _parser.py:168(__getitem__)
        3    0.000    0.000    0.006    0.002 __init__.py:856(distribution)
        3    0.000    0.000    0.006    0.002 __init__.py:383(from_name)
        1    0.000    0.000    0.006    0.006 staggered.py:1(<module>)
        1    0.000    0.000    0.006    0.006 adapters.py:1(<module>)
      809    0.006    0.000    0.006    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.006    0.006 py.py:1(<module>)
     1851    0.003    0.000    0.006    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.006    0.006 series.py:233(Series)
        1    0.000    0.000    0.006    0.006 charset.py:1(<module>)
      188    0.000    0.000    0.006    0.000 __init__.py:179(sub)
      170    0.000    0.000    0.006    0.000 typing.py:892(__init__)
      142    0.001    0.000    0.006    0.000 _compiler.py:516(_compile_info)
      175    0.006    0.000    0.006    0.000 {built-in method builtins.compile}
      259    0.001    0.000    0.006    0.000 _logging.py:57(_injects_client_details_to_log_context)
       43    0.005    0.000    0.006    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.006    0.006 subtests.py:1(<module>)
        1    0.000    0.000    0.006    0.006 masked.py:1(<module>)
        2    0.000    0.000    0.005    0.003 _base.py:1(<module>)
       23    0.000    0.000    0.005    0.000 overrides.py:184(decorator)
       47    0.000    0.000    0.005    0.000 typing.py:1288(__or__)
     3575    0.003    0.000    0.005    0.000 typing.py:1161(_is_dunder)
    18004    0.005    0.000    0.005    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.005    0.005 win32.py:1(<module>)
      158    0.005    0.000    0.005    0.000 {method 'findall' of 're.Pattern' objects}
      575    0.000    0.000    0.005    0.000 typing.py:730(<genexpr>)
       24    0.000    0.000    0.005    0.000 __init__.py:794(<genexpr>)
       21    0.000    0.000    0.005    0.000 __init__.py:692(search)
        2    0.000    0.000    0.005    0.002 request.py:1(<module>)
        3    0.000    0.000    0.005    0.002 __init__.py:31(message_from_string)
        2    0.000    0.000    0.005    0.002 terminal.py:1(<module>)
        3    0.000    0.000    0.005    0.002 parser.py:56(parsestr)
