         1082225 function calls (1054557 primitive calls) in 1.667 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      933    0.002    0.000    0.018    0.000 alias_generators.py:25(to_camel)
      682    0.002    0.000    0.028    0.000 typing.py:2026(__init__)
     4649    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
     6505    0.002    0.000    0.003    0.000 typing.py:962(__eq__)
      717    0.002    0.000    0.004    0.000 inspect.py:2743(__init__)
     4990    0.002    0.000    0.002    0.000 {built-in method _imp.acquire_lock}
     1581    0.002    0.000    0.004    0.000 introspection.py:578(_unpack_annotated)
     5497    0.002    0.000    0.003    0.000 _parser.py:256(match)
  501/385    0.002    0.000    0.108    0.000 _generate_schema.py:1167(_match_generic_type)
      301    0.002    0.000    0.002    0.000 _namespace_utils.py:89(data)
      782    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:615(_get_cached)
     1059    0.002    0.000    0.133    0.000 _typing_extra.py:534(_eval_type)
      236    0.002    0.000    0.004    0.000 enum.py:390(__setitem__)
     1008    0.002    0.000    0.003    0.000 _namespace_utils.py:283(push)
  155/141    0.002    0.000    0.014    0.000 inspect.py:2501(_signature_from_callable)
      128    0.002    0.000    0.003    0.000 fields.py:816(_copy)
     6375    0.002    0.000    0.003    0.000 typing.py:2049(__eq__)
  746/620    0.002    0.000    0.141    0.000 _generate_schema.py:2227(inner_handler)
      684    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:703(_validate_timestamp_pyc)
      548    0.002    0.000    0.004    0.000 dataclasses.py:701(_is_type)
     3173    0.002    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     6156    0.002    0.000    0.002    0.000 fields.py:257(<genexpr>)
     2105    0.002    0.000    0.002    0.000 {method 'find' of 'bytearray' objects}
      817    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
     4420    0.002    0.000    0.002    0.000 {method 'values' of 'dict' objects}
      458    0.002    0.000    0.002    0.000 _inspect.py:66(getargs)
      934    0.002    0.000    0.181    0.000 _typing_extra.py:403(try_eval_type)
       47    0.002    0.000    0.011    0.000 enum.py:528(__new__)
       24    0.002    0.000    0.014    0.001 typing.py:2814(__new__)
     4350    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
      210    0.001    0.000    0.002    0.000 inspect.py:3029(__init__)
      686    0.001    0.000    0.039    0.000 typing.py:2120(__class_getitem__)
     3449    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
     4990    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
  685/682    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:647(_check_name_wrapper)
     1163    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      213    0.001    0.000    0.003    0.000 _decorators.py:505(_decorator_infos_for_class)
     3856    0.001    0.000    0.002    0.000 _schema_gather.py:69(traverse_metadata)
       13    0.001    0.000    0.009    0.001 enum.py:918(_convert_)
      210    0.001    0.000    0.004    0.000 _config.py:99(for_model)
     1455    0.001    0.000    0.014    0.000 __init__.py:179(sub)
      826    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap>:416(__enter__)
      882    0.001    0.000    0.006    0.000 _known_annotated_metadata.py:107(expand_grouped_metadata)
      817    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:445(cb)
      264    0.001    0.000    0.013    0.000 overrides.py:145(decorator)
     3794    0.001    0.000    0.003    0.000 _fields.py:294(<genexpr>)
     1316    0.001    0.000    0.007    0.000 __init__.py:164(match)
      207    0.001    0.000    0.005    0.000 dataclasses.py:760(_get_field)
     2371    0.001    0.000    0.002    0.000 _utils.py:104(lenient_issubclass)
      133    0.001    0.000    0.016    0.000 typing.py:694(Union)
      817    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:232(__init__)
     2771    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
      790    0.001    0.000    0.001    0.000 inspect.py:1832(_shadowed_dict)
     1384    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1473(_path_importer_cache)
      603    0.001    0.000    0.008    0.000 functools.py:982(__get__)
      544    0.001    0.000    0.001    0.000 enum.py:849(__setattr__)
      426    0.001    0.000    0.001    0.000 typing.py:2510(overload)
      675    0.001    0.000    0.002    0.000 {built-in method fromkeys}
     3110    0.001    0.000    0.002    0.000 _parser.py:164(__len__)
      658    0.001    0.000    0.002    0.000 _typing_extra.py:297(safe_get_annotations)
      142    0.001    0.000    0.021    0.000 _compiler.py:516(_compile_info)
      284    0.001    0.000    0.003    0.000 enum.py:1561(__and__)
      210    0.001    0.000    0.316    0.002 _model_construction.py:566(set_model_fields)
      142    0.001    0.000    0.130    0.001 _compiler.py:745(compile)
      589    0.001    0.000    0.002    0.000 _compiler.py:216(_compile_charset)
     3447    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
      385    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
   521/65    0.001    0.000    0.570    0.009 {built-in method builtins.__import__}
     1076    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      722    0.001    0.000    0.001    0.000 {built-in method pydantic_core._pydantic_core.to_jsonable_python}
  794/620    0.001    0.000    0.145    0.000 _schema_generation_shared.py:82(__call__)
     1723    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
      685    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
      717    0.001    0.000    0.002    0.000 core_schema.py:3081(model_field)
      684    0.001    0.000    0.006    0.000 _generate_schema.py:2770(get_schema_or_ref)
     1945    0.001    0.000    0.002    0.000 _parser.py:176(append)
     2450    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1222(__enter__)
     1412    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      813    0.001    0.000    0.084    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
      288    0.001    0.000    0.006    0.000 _logging.py:112(_injects_client_details_to_log_context)
       87    0.001    0.000    0.001    0.000 _mock_val_ser.py:151(set_model_mocks)
      229    0.001    0.000    0.004    0.000 overrides.py:86(verify_matching_signatures)
      424    0.001    0.000    0.002    0.000 _parser.py:449(_uniq)
     1031    0.001    0.000    0.002    0.000 enum.py:720(__call__)
     4890    0.001    0.000    0.001    0.000 <string>:2(is_classvar)
      421    0.001    0.000    0.002    0.000 typing.py:1205(__getattr__)
      942    0.001    0.000    0.002    0.000 enum.py:1543(_get_value)
      814    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       48    0.001    0.000    0.003    0.000 {built-in method _io.open}
      617    0.001    0.000    0.006    0.000 alias_generators.py:12(to_pascal)
      684    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1206(path_stats)
     1337    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
     1484    0.001    0.000    0.001    0.000 _generate_schema.py:2905(push)
       83    0.001    0.000    0.009    0.000 typing.py:753(Literal)
       43    0.001    0.000    0.002    0.000 __init__.py:347(__new__)
     1723    0.001    0.000    0.001    0.000 {built-in method _weakref._remove_dead_weakref}
     2450    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1226(__exit__)
     1935    0.001    0.000    0.002    0.000 <string>:2(is_typealiastype)
      120    0.001    0.000    0.002    0.000 typing.py:1123(_generic_init_subclass)
        1    0.001    0.001    0.675    0.675 _models.py:1(<module>)
     2034    0.001    0.000    0.001    0.000 _parser.py:293(tell)
     1744    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
      413    0.001    0.000    0.001    0.000 {method 'expandtabs' of 'str' objects}
     3147    0.001    0.000    0.001    0.000 typing.py:1630(<genexpr>)
      142    0.001    0.000    0.054    0.000 _parser.py:969(parse)
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
     1059    0.001    0.000    0.134    0.000 _typing_extra.py:458(eval_type_backport)
     1466    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap>:632(cached)
     1059    0.001    0.000    0.134    0.000 _typing_extra.py:504(_eval_type_backport)
     3385    0.001    0.000    0.001    0.000 typing.py:1273(<genexpr>)
      349    0.001    0.000    0.020    0.000 function_base.py:490(add_newdoc)
     4011    0.001    0.000    0.001    0.000 <string>:2(is_annotated)
      478    0.001    0.000    0.002    0.000 inspect.py:391(_has_code_flag)
       73    0.001    0.000    0.002    0.000 config.py:521(register_option)
     1005    0.001    0.000    0.001    0.000 dataclasses.py:1301(is_dataclass)
        3    0.001    0.000    0.015    0.005 core.py:1(<module>)
      210    0.001    0.000    0.001    0.000 _config.py:373(check_deprecated)
       61    0.001    0.000    0.016    0.000 dataclasses.py:568(_init_fn)
     2075    0.001    0.000    0.001    0.000 {built-in method from_bytes}
      424    0.001    0.000    0.001    0.000 <string>:2(__init__)
     1566    0.001    0.000    0.003    0.000 typing_extensions.py:3165(_is_unpacked_typevartuple)
      580    0.001    0.000    0.001    0.000 introspection.py:103(get_literal_values)
     1940    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     1787    0.001    0.000    0.001    0.000 {method 'isupper' of 'str' objects}
      484    0.001    0.000    0.001    0.000 {built-in method builtins.all}
      814    0.001    0.000    0.001    0.000 {built-in method _imp.find_frozen}
      101    0.001    0.000    0.011    0.000 _fields.py:436(rebuild_model_fields)
      126    0.001    0.000    0.010    0.000 _generate_schema.py:2822(finalize_schema)
       86    0.001    0.000    0.001    0.000 typing.py:1640(__hash__)
      826    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:420(__exit__)
