         513935 function calls (501521 primitive calls) in 1.434 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      120    0.001    0.000    0.005    0.000 _compiler.py:511(_compile_info)
      487    0.001    0.000    0.001    0.000 typing.py:2534(final)
      120    0.001    0.000    0.072    0.001 _compiler.py:740(compile)
      350    0.001    0.000    0.022    0.000 function_base.py:474(_add_docstring)
       63    0.001    0.000    0.010    0.000 _logging.py:46(__new__)
      240    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
     3052    0.001    0.000    0.001    0.000 typing.py:1246(<genexpr>)
      700    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
        1    0.001    0.001    0.002    0.002 generic.py:228(NDFrame)
       81    0.001    0.000    0.002    0.000 <frozen zipimport>:64(__init__)
       73    0.001    0.000    0.002    0.000 config.py:521(register_option)
      458    0.001    0.000    0.003    0.000 _inspect.py:97(getargspec)
     1871    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      931    0.001    0.000    0.002    0.000 enum.py:726(__call__)
      838    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:420(__exit__)
      943    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
       10    0.001    0.000    0.658    0.066 api.py:1(<module>)
      840    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
      857    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      808    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      105    0.001    0.000    0.002    0.000 typing.py:1609(__hash__)
       81    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      513    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
      808    0.001    0.000    0.001    0.000 {built-in method _imp.find_frozen}
     1752    0.001    0.000    0.001    0.000 _parser.py:176(append)
      462    0.001    0.000    0.001    0.000 typing.py:1178(__getattr__)
       81    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
     1856    0.001    0.000    0.001    0.000 {built-in method from_bytes}
     1018    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      402    0.001    0.000    0.005    0.000 typing.py:1147(__init__)
        3    0.001    0.000    0.016    0.005 numeric.py:1(<module>)
     1705    0.001    0.000    0.001    0.000 {built-in method _weakref._remove_dead_weakref}
     1726    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
      383    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
       95    0.001    0.000    0.001    0.000 accessor.py:106(_create_delegator_property)
        9    0.001    0.000    0.003    0.000 feedparser.py:216(_parsegen)
       89    0.001    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1212(set_data)
       68    0.001    0.000    0.001    0.000 typing.py:1096(_generic_init_subclass)
      899    0.001    0.000    0.006    0.000 typing.py:166(_type_convert)
      687    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      120    0.001    0.000    0.042    0.000 _parser.py:969(parse)
      106    0.001    0.000    0.003    0.000 extension.py:35(_inherit_from_data)
        1    0.001    0.001    0.001    0.001 base.py:323(Index)
        1    0.001    0.001    0.009    0.009 packages.py:1(<module>)
     2957    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
       81    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
      410    0.001    0.000    0.001    0.000 inspect.py:384(_has_code_flag)
      804    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
        6    0.001    0.000    0.010    0.002 dataclasses.py:921(_process_class)
     1298    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
        3    0.001    0.000    0.001    0.000 expr.py:288(disallowed)
      857    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      561    0.001    0.000    0.001    0.000 functools.py:65(wraps)
      831    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.001    0.001    0.006    0.006 series.py:233(Series)
      833    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:599(__init__)
     2545    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      150    0.001    0.000    0.002    0.000 typing.py:345(_remove_dups_flatten)
      136    0.001    0.000    0.001    0.000 inspect.py:747(unwrap)
     2385    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
      124    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
       89    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:764(_code_to_timestamp_pyc)
      665    0.001    0.000    0.001    0.000 enum.py:79(_is_private)
       35    0.001    0.000    0.002    0.000 typing.py:1047(_generic_class_getitem)
      387    0.001    0.000    0.001    0.000 enum.py:785(__delattr__)
        6    0.001    0.000    0.011    0.002 common.py:1(<module>)
       11    0.001    0.000    0.003    0.000 __init__.py:707(__init__)
       71    0.001    0.000    0.001    0.000 functools.py:518(decorating_function)
